CLIENT_ID,CAR_ID,RESERVATION_DATE,START_DATE,RETURN_DATE,RESERVATION_ID
19740,1494,2020-09-11,2005-10-31,1973-02-01,1
10709,306,1979-10-15,1973-07-03,1978-02-15,2
13602,771,2001-10-23,2002-06-11,1980-02-23,3
6276,1121,1972-12-16,1974-10-05,1998-09-22,4
12879,1552,2012-12-02,1975-10-18,1988-12-06,5
9457,1052,2000-04-11,2001-10-24,1988-03-29,6
12389,1477,2007-08-07,1975-07-07,1979-05-12,7
15799,609,1977-08-16,1976-04-04,1974-06-10,8
3490,227,1993-09-02,2019-03-06,2000-05-20,9
16986,1860,1988-12-20,2017-02-20,2012-02-16,10
9779,630,1979-08-21,1976-05-29,2016-02-12,11
9499,293,1990-03-07,1980-12-22,1995-04-22,12
15294,603,1999-06-21,2017-12-26,1991-12-03,13
12674,40,2008-10-23,1989-02-18,2010-02-24,14
7442,492,1981-02-01,1996-08-05,1990-02-04,15
10364,1873,1998-09-01,2016-12-20,1999-08-29,16
9587,1331,1989-06-08,2015-03-28,1977-04-12,17
3201,712,1986-01-18,2000-10-08,1975-01-14,18
8623,1094,1990-09-16,1993-11-23,2012-04-25,19
11696,861,1999-07-04,2018-11-22,1991-11-11,20
1395,396,2003-09-28,1980-04-25,1986-01-17,21
12984,1961,1995-06-23,2020-08-17,1995-08-17,22
13570,845,2016-10-29,1975-02-19,1996-01-12,23
14298,461,2004-10-13,2008-10-01,2002-04-07,24
8340,1966,1973-01-25,2018-05-23,2021-03-06,25
19859,111,2010-07-10,1976-09-01,1997-02-27,26
643,1084,2010-03-11,1983-03-27,1985-08-22,27
8129,460,2002-06-04,1973-05-05,2020-11-24,28
4801,402,2009-02-18,2006-08-25,2007-11-12,29
13106,1979,1984-06-01,2016-07-26,1978-06-12,30
1006,222,2003-11-25,2015-05-09,2011-12-08,31
42,346,2015-11-28,1981-06-30,1987-01-17,32
3333,1438,1978-03-02,2000-02-27,1976-05-23,33
4370,1748,1992-05-16,1976-04-19,2012-12-23,34
17224,1924,1998-03-01,2004-07-18,1984-11-18,35
9236,78,1974-12-08,1994-01-05,1989-08-28,36
12883,1959,1992-10-12,1991-06-04,1987-12-02,37
5747,16,2015-12-16,2005-07-16,1986-08-13,38
2121,464,1987-10-13,1999-02-28,2020-12-26,39
2663,1259,2011-01-04,1977-03-22,1995-11-28,40
8021,66,1978-01-06,1984-01-12,1993-10-30,41
15639,113,1979-03-26,1979-12-27,1977-04-08,42
17637,316,2007-12-23,1994-09-22,1992-06-05,43
8437,1140,1977-09-02,2011-08-21,1992-04-03,44
11357,1310,1988-11-21,1978-07-10,2000-07-07,45
12975,1124,1978-06-27,1991-11-23,1983-08-02,46
15651,1452,1981-10-11,1973-08-30,1976-08-12,47
19025,176,1982-10-18,1983-12-01,1988-02-22,48
9211,1381,2021-07-08,2015-11-20,1977-11-29,49
18843,807,2015-05-22,2015-05-07,1988-01-05,50
2035,258,1988-09-19,2021-10-09,1982-12-17,51
10154,18,2008-04-18,2015-05-01,2020-03-19,52
13775,1664,2015-11-22,1991-11-20,2021-10-01,53
3975,177,2010-12-31,1994-09-02,2020-08-06,54
8292,1315,1986-04-26,1994-08-17,2008-03-06,55
4563,1796,1975-03-04,2012-08-17,1992-11-15,56
9876,1090,1974-09-06,1974-01-23,1992-11-03,57
10191,1337,1987-10-29,2005-07-11,2012-08-19,58
4649,343,2021-01-14,2001-11-17,1994-07-23,59
10154,1068,2014-06-02,1987-12-28,1976-02-27,60
421,368,2019-09-01,1984-04-11,2019-07-19,61
13998,1922,1987-07-06,2009-03-09,2017-07-30,62
17500,1781,1980-08-09,2005-04-15,2014-07-12,63
6971,390,1999-11-15,1981-01-18,2011-08-02,64
13568,1647,2009-09-24,2013-11-24,1992-05-26,65
4212,563,1978-05-17,2001-02-10,1997-04-17,66
13587,1940,2003-12-23,1984-03-22,1992-07-03,67
8692,1301,1975-10-06,1979-02-28,1989-05-27,68
18384,746,2012-03-23,1980-03-05,1973-04-09,69
15382,1757,1981-10-30,2005-08-20,2002-03-17,70
13835,992,1978-06-04,2014-12-09,1990-11-27,71
1679,787,1998-10-06,2014-08-14,2009-09-12,72
11503,1538,1994-04-26,1975-08-12,2016-11-13,73
18444,1615,1998-11-01,2016-12-11,2001-10-06,74
295,914,1972-10-17,2010-02-10,1994-05-26,75
14670,1838,2008-03-05,2013-11-28,1981-05-19,76
19903,1512,2003-01-21,2016-03-21,1984-02-04,77
1556,634,2013-07-11,1999-01-20,2009-04-02,78
8664,1463,1978-11-14,1980-05-17,1987-03-31,79
8055,1806,2017-07-28,1986-11-17,2011-01-27,80
2585,573,1998-02-07,2017-07-31,1996-01-11,81
19918,350,2020-10-28,1992-03-05,1980-11-04,82
1788,378,1996-03-26,2011-12-11,2011-07-24,83
2254,895,1986-05-10,1989-03-12,2019-10-25,84
7884,1534,1988-06-25,1996-12-28,1985-01-23,85
1909,1848,2019-09-11,1980-10-16,2018-01-25,86
13078,426,1975-08-04,2015-09-11,2019-05-06,87
